variable_name,dataset,description,data_type,units,value_encoding,n_codes,dbgap_variable_id,dbgap_study
hrmqage5,MESA_AirNRExam5Main,"HORMONE REPLACEMENT THERAPY, AGE STOPPED USE (FORMER USER)",NUMERIC,,,,phv00175324.v1,phs000209.v13
hrmrage5,MESA_AirNRExam5Main,"HORMONE REPLACEMENT THERAPY, AGE STARTED USE (CURRENT USER)",NUMERIC,,,,phv00175321.v1,phs000209.v13
hrmrep5,MESA_AirNRExam5Main,HORMONE REPLACEMENT THERAPY SINCE LAST VISIT,NUMERIC,,0=NO|1=YES,2,phv00175319.v1,phs000209.v13
hrmrepc5,MESA_AirNRExam5Main,"HORMONE REPLACEMENT THERAPY, CURRENT USER",NUMERIC,,0=NO|1=YES,2,phv00175320.v1,phs000209.v13
hrmsage5,MESA_AirNRExam5Main,"HORMONE REPLACEMENT THERAPY, AGE STARTED USE (FORMER USER)",NUMERIC,,,,phv00175322.v1,phs000209.v13
hrmtyp5,MESA_AirNRExam5Main,TYPE OF HORMONE REPLACEMENT THERAPY,NUMERIC,,1=ESTROGEN ALONE|2=ESTROGEN WITH PROGESTIN|3=OTHER TYPE OF HRT (SPECIFY),3,phv00175325.v1,phs000209.v13
hsemn5c,MESA_AirNRExam5Main,TOTAL HOUSEHOLD CHORES (MIN/WK),NUMERIC,Min/Wk,,,phv00175508.v1,phs000209.v13
hsemt5c,MESA_AirNRExam5Main,TOTAL HOUSEHOLD CHORES MET (MIN/WK),NUMERIC,Min/Wk,,,phv00175509.v1,phs000209.v13
hsfire5,MESA_AirNRExam5Main,Q16A) ACTIONS TO TAKE IF NEIGHBOR'S HOUSE CATCHING FIRE? (# APPROPRIATE ACTIONS),NUMERIC,,0=ZERO APPROPRIATE ACTIONS|1=ONE APPROPRIATE ACTION|2=TWO OR MORE APPROPRIATE ACTIONS,3,phv00174695.v1,phs000209.v13
htcm5,MESA_AirNRExam5Main,HEIGHT (cm),NUMERIC,cm,,,phv00174630.v1,phs000209.v13
htmodp5,MESA_AirNRExam5Main,"HEIGHT, PROTOCOL MODIFICATION?",NUMERIC,,0=NO|1=YES,2,phv00174631.v1,phs000209.v13
htn5c,MESA_AirNRExam5Main,"HYPERTENSION BY JNC VI (1997) CRITERIA, EXAM 5",NUMERIC,,0=NO|1=YES,2,phv00174605.v1,phs000209.v13
htnmed5c,MESA_AirNRExam5Main,ANY HYPERTENSION MEDICATION,NUMERIC,,0=NO|1=YES,2,phv00175410.v1,phs000209.v13
htnstg5c,MESA_AirNRExam5Main,HYPERTENSION STAGE,NUMERIC,,1=OPTIMAL|2=NORMAL|3=HIGH-NORMAL|4=STAGE 1 HYPERTENSION|5=STAGE 2 HYPERTENSION|6=STAGE 3 HYPERTENSION,6,phv00174595.v1,phs000209.v13
hwgo5,MESA_AirNRExam5Main,Q19D) LET ME HAVE A SAMPLE OF YOUR HANDWRITING: GO,NUMERIC,,0=ERROR/REFUSED|.5=CORRECT|9=NOT ATT / DISABLED,3,phv00174707.v1,phs000209.v13
hwhome5,MESA_AirNRExam5Main,Q19E) LET ME HAVE A SAMPLE OF YOUR HANDWRITING: HOME,NUMERIC,,0=ERROR/REFUSED|.5=CORRECT|9=NOT ATT / DISABLED,3,phv00174708.v1,phs000209.v13
hwlike5,MESA_AirNRExam5Main,Q19B) LET ME HAVE A SAMPLE OF YOUR HANDWRITING: LIKE,NUMERIC,,0=ERROR/REFUSED|.5=CORRECT|9=NOT ATT / DISABLED,3,phv00174705.v1,phs000209.v13
hwmodp5,MESA_AirNRExam5Main,"GIRTH, PROTOCOL MODIFICATION?",NUMERIC,,0=NO|1=YES,2,phv00174636.v1,phs000209.v13
hwto5,MESA_AirNRExam5Main,Q19C) LET ME HAVE A SAMPLE OF YOUR HANDWRITING: TO,NUMERIC,,0=ERROR/REFUSED|.5=CORRECT|9=NOT ATT / DISABLED,3,phv00174706.v1,phs000209.v13
hwwould5,MESA_AirNRExam5Main,Q19A) LET ME HAVE A SAMPLE OF YOUR HANDWRITING: WOULD,NUMERIC,,0=ERROR/REFUSED|.5=CORRECT|9=NOT ATT / DISABLED,3,phv00174704.v1,phs000209.v13
hystage5,MESA_AirNRExam5Main,AGE AT HYSTERECTOMY,NUMERIC,,,,phv00175316.v1,phs000209.v13
hystrct5,MESA_AirNRExam5Main,HYSTERECTOMY,NUMERIC,,0=NO|1=YES|9=DO NOT KNOW / UNKNOWN,3,phv00175315.v1,phs000209.v13
icalftmaxv5,MESA_AirNRExam5Main,FORM: LT ICA DOPPLER SCAN: MAX VELOCITY (cm/s),NUMERIC,,,,phv00175789.v1,phs000209.v13
icartmaxv5,MESA_AirNRExam5Main,FORM: RT ICA DOPPLER SCAN: MAX VELOCITY (cm/s),NUMERIC,cm/s,,,phv00175784.v1,phs000209.v13
imtalrts5,MESA_AirNRExam5Main,IMT ALERT: MAJOR FINDING,NUMERIC,,0=NO|1=YES,2,phv00175793.v1,phs000209.v13
imtarmusd5,MESA_AirNRExam5Main,FORM: ARM USED FOR BP MEASURE,NUMERIC,,1=RIGHT|2=LEFT,2,phv00175752.v1,phs000209.v13
