tinyId	designation	question_text	definition	datatype	permissible_values	classification	concept_codes	external_ids	steward_org	registration_status	nih_endorsed
hBVYz4aNdjd	Neurobehavioral Symptom Inventory (NSI) - Coordination impairment score		Score of subject's coordination impairment, as part of the Neurobehavioral Symptom Inventory (NSI)	Value List	0=0= None - rarely if ever present, not a problem at all | 1=1= Mild - occasionally present, but it does not disrupt activities, I can usually continue what I'm doing, doesn't really concern me | 2=2= Moderate - Often present, occasionally disrupts my activities, I can usually continue what I'm doing with some effort, I feel somewhat concerned | 3=3= Severe - Frequently present and disrupts activities, I can only do things that are fairly simple or take little effort, I feel like I need help | 4=4= Very severe - Almost always present and I have been unable to perform at work, school or home due to this problem, I probably cannot function without help	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C07326; BRICS Variable Name:NSICoordntnImprmntScore	NINDS	Qualified	False
4GJ4jzqQk2V	Neurobehavioral Symptom Inventory (NSI) - Decision impairment score		Score of subject's indecisiveness, as part of the Neurobehavioral Symptom Inventory (NSI)	Value List	0=0= None - rarely if ever present, not a problem at all | 1=1= Mild - occasionally present, but it does not disrupt activities, I can usually continue what I'm doing, doesn't really concern me | 2=2= Moderate - Often present, occasionally disrupts my activities, I can usually continue what I'm doing with some effort, I feel somewhat concerned | 3=3= Severe - Frequently present and disrupts activities, I can only do things that are fairly simple or take little effort, I feel like I need help | 4=4= Very severe - Almost always present and I have been unable to perform at work, school or home due to this problem, I probably cannot function without help	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C07338; BRICS Variable Name:NSIDecsnImprmntScore	NINDS	Qualified	False
Tqdwv7e2Jyf	Neurobehavioral Symptom Inventory (NSI) - Depression impairment score		Score of subject's depression , as part of the Neurobehavioral Symptom Inventory (NSI)	Value List	0=0= None - rarely if ever present, not a problem at all | 1=1= Mild - occasionally present, but it does not disrupt activities, I can usually continue what I'm doing, doesn't really concern me | 2=2= Moderate - Often present, occasionally disrupts my activities, I can usually continue what I'm doing with some effort, I feel somewhat concerned | 3=3= Severe - Frequently present and disrupts activities, I can only do things that are fairly simple or take little effort, I feel like I need help | 4=4= Very severe - Almost always present and I have been unable to perform at work, school or home due to this problem, I probably cannot function without help	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C07343; BRICS Variable Name:NSIDeprsnImprmntScore	NINDS	Qualified	False
rqMAx2edY4J	Neurobehavioral Symptom Inventory (NSI) - Dizzy score		Score of subject's dizziness, as part of the Neurobehavioral Symptom Inventory (NSI)	Value List	0=0= None - rarely if ever present, not a problem at all | 1=1= Mild - occasionally present, but it does not disrupt activities, I can usually continue what I'm doing, doesn't really concern me | 2=2= Moderate - Often present, occasionally disrupts my activities, I can usually continue what I'm doing with some effort, I feel somewhat concerned | 3=3= Severe - Frequently present and disrupts activities, I can only do things that are fairly simple or take little effort, I feel like I need help | 4=4= Very severe - Almost always present and I have been unable to perform at work, school or home due to this problem, I probably cannot function without help	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C07324; BRICS Variable Name:NSIDizScore	NINDS	Qualified	False
BrhJ2Ap2u6r	Neurobehavioral Symptom Inventory (NSI) - Fatigue impairment score		Score of subject's fatigue, loss of energy and getting tired easily, as part of the Neurobehavioral Symptom Inventory (NSI)	Value List	0=0= None - rarely if ever present, not a problem at all | 1=1= Mild - occasionally present, but it does not disrupt activities, I can usually continue what I'm doing, doesn't really concern me | 2=2= Moderate - Often present, occasionally disrupts my activities, I can usually continue what I'm doing with some effort, I feel somewhat concerned | 3=3= Severe - Frequently present and disrupts activities, I can only do things that are fairly simple or take little effort, I feel like I need help | 4=4= Very severe - Almost always present and I have been unable to perform at work, school or home due to this problem, I probably cannot function without help	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C07340; BRICS Variable Name:NSIFatigImprmntScore	NINDS	Qualified	False
cKBXD92q0V7	Neurobehavioral Symptom Inventory (NSI) - Form completion date		Date of form completion, as part of the Neurobehavioral Symptom Inventory (NSI)	Date		NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C18490; BRICS Variable Name:NSIFrmCompltDate	NINDS	Qualified	False
gm6gHDuQ1zz	Neurobehavioral Symptom Inventory (NSI) - Form completion name		Name of the person who completed the form, as part of the Neurobehavioral Symptom Inventory (NSI)	Text		NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C18489; BRICS Variable Name:NSIFrmCompltNm	NINDS	Qualified	False
B7tTnwNvmCb	Neurobehavioral Symptom Inventory (NSI) - Frustration impairment score		Score of subject's frustration tolerance, as part of the Neurobehavioral Symptom Inventory (NSI)	Value List	0=None - rarely if ever present, not a problem at all | 1=Mild - occasionally present, but it does not disrupt activities, I can usually continue what I'm doing, doesn't really concern me | 2=Moderate - Often present, occasionally disrupts my activities, I can usually continue what I'm doing with some effort, I feel somewhat concerned | 3=Severe - Frequently present and disrupts activities, I can only do things that are fairly simple or take little effort, I feel like I need help | 4=Very severe - Almost always present and I have been unable to perform at work, school or home due to this problem, I probably cannot function without help	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C07345; BRICS Variable Name:NSIFrustrtnImprmntScore	NINDS	Qualified	False
jP8OJ6pUJ2Y	Neurobehavioral Symptom Inventory (NSI) - Headaches score		Score of subject's headache, as part of the Neurobehavioral Symptom Inventory (NSI)	Value List	0=0= None - rarely if ever present, not a problem at all | 1=1= Mild - occasionally present, but it does not disrupt activities, I can usually continue what I'm doing, doesn't really concern me | 2=2= Moderate - Often present, occasionally disrupts my activities, I can usually continue what I'm doing with some effort, I feel somewhat concerned | 3=3= Severe - Frequently present and disrupts activities, I can only do things that are fairly simple or take little effort, I feel like I need help | 4=4= Very severe - Almost always present and I have been unable to perform at work, school or home due to this problem, I probably cannot function without help	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C07327; BRICS Variable Name:NSIHdcheScore	NINDS	Qualified	False
AERzGWNpZng	Neurobehavioral Symptom Inventory (NSI) - Hearing impairment score		Score of subject's hearing impairment, as part of the Neurobehavioral Symptom Inventory (NSI)	Value List	0=0= None - rarely if ever present, not a problem at all | 1=1= Mild - occasionally present, but it does not disrupt activities, I can usually continue what I'm doing, doesn't really concern me | 2=2= Moderate - Often present, occasionally disrupts my activities, I can usually continue what I'm doing with some effort, I feel somewhat concerned | 3=3= Severe - Frequently present and disrupts activities, I can only do things that are fairly simple or take little effort, I feel like I need help | 4=4= Very severe - Almost always present and I have been unable to perform at work, school or home due to this problem, I probably cannot function without help	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C07331; BRICS Variable Name:NSIHearngImprmntScore	NINDS	Qualified	False
C0ok1ZU37Ga	Neurobehavioral Symptom Inventory (NSI) - Irritability impairment score		Score of subject's irritability, as part of the Neurobehavioral Symptom Inventory (NSI)	Value List	0=0= None - rarely if ever present, not a problem at all | 1=1= Mild - occasionally present, but it does not disrupt activities, I can usually continue what I'm doing, doesn't really concern me | 2=2= Moderate - Often present, occasionally disrupts my activities, I can usually continue what I'm doing with some effort, I feel somewhat concerned | 3=3= Severe - Frequently present and disrupts activities, I can only do things that are fairly simple or take little effort, I feel like I need help | 4=4= Very severe - Almost always present and I have been unable to perform at work, school or home due to this problem, I probably cannot function without help	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C07344; BRICS Variable Name:NSIIrrabltyImprmntScore	NINDS	Qualified	False
Xwg0xpSoJsN	Neurobehavioral Symptom Inventory (NSI) - Medical record number		Medical record number of the form completion, as part of the Neurobehavioral Symptom Inventory (NSI)	Number		NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C18491; BRICS Variable Name:NSIMedRecrdNum	NINDS	Qualified	False
Jt5E3dWmg8j	Neurobehavioral Symptom Inventory (NSI) - Memory impairment score		Score of subject's memory impairment, as part of the Neurobehavioral Symptom Inventory (NSI)	Value List	0=0= None - rarely if ever present, not a problem at all | 1=1= Mild - occasionally present, but it does not disrupt activities, I can usually continue what I'm doing, doesn't really concern me | 2=2= Moderate - Often present, occasionally disrupts my activities, I can usually continue what I'm doing with some effort, I feel somewhat concerned | 3=3= Severe - Frequently present and disrupts activities, I can only do things that are fairly simple or take little effort, I feel like I need help | 4=4= Very severe - Almost always present and I have been unable to perform at work, school or home due to this problem, I probably cannot function without help	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C07337; BRICS Variable Name:NSIMmryImprmntScore	NINDS	Qualified	False
xy3m7amt1YR	Neurobehavioral Symptom Inventory (NSI) - Nausea score		Score of subject's nausea, as part of the Neurobehavioral Symptom Inventory (NSI)	Value List	0=0= None - rarely if ever present, not a problem at all | 1=1= Mild - occasionally present, but it does not disrupt activities, I can usually continue what I'm doing, doesn't really concern me | 2=2= Moderate - Often present, occasionally disrupts my activities, I can usually continue what I'm doing with some effort, I feel somewhat concerned | 3=3= Severe - Frequently present and disrupts activities, I can only do things that are fairly simple or take little effort, I feel like I need help | 4=4= Very severe - Almost always present and I have been unable to perform at work, school or home due to this problem, I probably cannot function without help	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C07328; BRICS Variable Name:NSINausScore	NINDS	Qualified	False
_O5a7chWZ5R	Neurobehavioral Symptom Inventory (NSI) - Numbness impairment score		Score of subject's numbness or tingling on parts of the body, as part of the Neurobehavioral Symptom Inventory (NSI)	Value List	0=0= None - rarely if ever present, not a problem at all | 1=1= Mild - occasionally present, but it does not disrupt activities, I can usually continue what I'm doing, doesn't really concern me | 2=2= Moderate - Often present, occasionally disrupts my activities, I can usually continue what I'm doing with some effort, I feel somewhat concerned | 3=3= Severe - Frequently present and disrupts activities, I can only do things that are fairly simple or take little effort, I feel like I need help | 4=4= Very severe - Almost always present and I have been unable to perform at work, school or home due to this problem, I probably cannot function without help	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C07333; BRICS Variable Name:NSINumbnssImprmntScore	NINDS	Qualified	False
jA8p_d8Hn0t	Neurobehavioral Symptom Inventory (NSI) - Sensitive light score		Score of subject's sensitivity to light, as part of the Neurobehavioral Symptom Inventory (NSI)	Value List	0=0= None - rarely if ever present, not a problem at all | 1=1= Mild - occasionally present, but it does not disrupt activities, I can usually continue what I'm doing, doesn't really concern me | 2=2= Moderate - Often present, occasionally disrupts my activities, I can usually continue what I'm doing with some effort, I feel somewhat concerned | 3=3= Severe - Frequently present and disrupts activities, I can only do things that are fairly simple or take little effort, I feel like I need help | 4=4= Very severe - Almost always present and I have been unable to perform at work, school or home due to this problem, I probably cannot function without help	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C07330; BRICS Variable Name:NSISenstvLgtScore	NINDS	Qualified	False
axD6PDAjQxz	Neurobehavioral Symptom Inventory (NSI) - Sensitive noise score		Score of subject's sensitivity to noise, as part of the Neurobehavioral Symptom Inventory (NSI)	Value List	0=0= None - rarely if ever present, not a problem at all | 1=1= Mild - occasionally present, but it does not disrupt activities, I can usually continue what I'm doing, doesn't really concern me | 2=2= Moderate - Often present, occasionally disrupts my activities, I can usually continue what I'm doing with some effort, I feel somewhat concerned | 3=3= Severe - Frequently present and disrupts activities, I can only do things that are fairly simple or take little effort, I feel like I need help | 4=4= Very severe - Almost always present and I have been unable to perform at work, school or home due to this problem, I probably cannot function without help	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C07332; BRICS Variable Name:NSiSenstvNoisScore	NINDS	Qualified	False
064O2_2GHnm	Neurobehavioral Symptom Inventory (NSI) - Sleep impairment score		Score of subject's sleep impairment, as part of the Neurobehavioral Symptom Inventory (NSI)	Value List	0=0= None - rarely if ever present, not a problem at all | 1=1= Mild - occasionally present, but it does not disrupt activities, I can usually continue what I'm doing, doesn't really concern me | 2=2= Moderate - Often present, occasionally disrupts my activities, I can usually continue what I'm doing with some effort, I feel somewhat concerned | 3=3= Severe - Frequently present and disrupts activities, I can only do things that are fairly simple or take little effort, I feel like I need help | 4=4= Very severe - Almost always present and I have been unable to perform at work, school or home due to this problem, I probably cannot function without help	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C07341; BRICS Variable Name:NSISlpImprmntScore	NINDS	Qualified	False
